时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月14日 21:24:15.673,11.7,28.7,9.8,27.3,2535.0,2965.0, -259.7,5.7,0.0,-259.7,6.2,0.0,-259.7,6.8,0.0,-259.7,10.3,0.0,
2025年12月14日 21:24:16.675,11.7,28.7,9.8,27.3,2516.0,2938.0, -259.7,5.7,0.0,-259.7,6.2,0.0,-259.7,6.8,0.0,-259.7,10.2,0.0,
2025年12月14日 21:24:17.674,11.7,28.7,9.6,27.2,2483.0,2996.0, -259.7,5.6,0.0,-259.7,6.2,0.0,-259.7,6.8,0.0,-259.7,10.1,0.0,
2025年12月14日 21:24:18.674,11.7,28.6,9.6,27.2,2526.0,3155.0, -259.7,5.6,0.0,-259.7,6.1,0.0,-259.7,6.8,0.0,-259.7,10.1,0.0,
2025年12月14日 21:24:19.674,11.6,28.6,9.6,27.3,2614.0,3219.0, -259.7,5.6,0.0,-259.7,6.1,0.0,-259.7,6.7,0.0,-259.7,10.1,0.0,
2025年12月14日 21:25:38.454,8.4,19.7,6.0,13.2,2342.0,2003.0, -259.7,-6.3,0.0,-259.7,-8.9,0.0,-259.7,-3.4,0.0,-259.7,-4.4,0.0,
2025年12月14日 21:25:39.445,8.5,20.1,6.1,13.4,2334.0,1981.0, -259.7,-6.2,0.0,-259.7,-9.3,0.0,-259.7,-3.1,0.0,-259.7,-4.5,0.0,
2025年12月14日 21:25:40.445,8.7,20.3,6.2,13.7,2304.0,1980.0, -259.7,-6.0,0.0,-259.7,-9.0,0.0,-259.7,-2.8,0.0,-259.7,-4.3,0.0,
2025年12月14日 21:28:05.782,0.3,0.7,0.3,0.8,2111.0,2004.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:06.782,0.3,0.7,0.3,0.8,2165.0,2030.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:07.782,0.3,0.8,0.3,0.8,2197.0,2026.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:08.781,0.3,0.9,0.3,0.8,2164.0,2009.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:09.782,0.3,0.8,0.3,0.9,2162.0,1966.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:10.783,0.3,0.8,0.3,0.8,2218.0,2040.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:11.783,0.3,0.8,0.3,0.8,2049.0,2061.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:12.790,0.3,0.8,0.3,0.8,2142.0,1990.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:13.787,0.3,0.8,0.3,0.8,2079.0,2068.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:14.787,0.3,0.8,0.3,0.8,2150.0,1985.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:15.786,0.3,0.8,0.3,0.8,2121.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:16.784,0.3,0.8,0.3,0.9,2131.0,2050.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:17.782,0.3,0.8,0.3,0.9,2217.0,1928.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:18.781,0.3,0.8,0.3,0.8,2178.0,2000.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:19.781,0.3,0.8,0.3,0.9,2226.0,1973.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:28:20.782,0.3,0.8,0.3,0.8,2226.0,1985.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
