时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月14日 21:19:45.908,0.8,1.7,0.7,2.0,2914.0,2563.0, -259.7,-19.7,0.0,-259.7,-19.5,0.0,-259.7,-19.9,0.0,-259.7,-19.9,0.0,
2025年12月14日 21:19:46.909,0.7,1.9,0.7,2.0,2946.0,2567.0, -259.7,-19.7,0.0,-259.7,-19.5,0.0,-259.7,-19.9,0.0,-259.7,-19.9,0.0,
2025年12月14日 21:19:47.908,0.7,1.7,0.7,1.9,2944.0,2574.0, -259.7,-19.7,0.0,-259.7,-19.5,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:19:48.909,0.8,1.7,0.7,2.0,2821.0,2463.0, -259.7,-19.7,0.0,-259.7,-19.5,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:12.907,0.7,1.7,0.7,1.7,2708.0,2373.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:13.909,0.6,1.5,0.6,1.6,2766.0,2353.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:14.908,0.6,1.5,0.6,1.6,2741.0,2393.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:16.909,0.6,1.6,0.6,1.6,2787.0,2436.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:18.912,0.6,1.6,0.7,1.7,2772.0,2449.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:20.915,0.6,1.5,0.6,1.6,2725.0,2392.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:21.916,0.6,1.6,0.6,1.6,2779.0,2353.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:22.916,0.6,1.5,0.6,1.6,2689.0,2351.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:24.918,0.6,1.5,0.6,1.5,2738.0,2396.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.0,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:26.919,0.6,1.6,0.6,1.5,2652.0,2386.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:27.920,0.6,1.5,0.6,1.5,2620.0,2371.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:28.921,0.6,1.6,0.6,1.6,2608.0,2356.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:29.922,0.6,1.5,0.6,1.5,2637.0,2348.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:31.924,0.6,1.4,0.6,1.5,2618.0,2338.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:32.924,0.5,1.4,0.5,1.4,2587.0,2344.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:34.926,0.6,1.4,0.6,1.5,2647.0,2263.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:36.928,0.6,1.4,0.5,1.4,2590.0,2320.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:38.930,0.6,1.4,0.6,1.4,2598.0,2314.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:40.933,0.6,1.5,0.6,1.5,2643.0,2367.0, -259.7,-19.8,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:43.935,0.6,1.3,0.6,1.4,2625.0,2295.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:45.440,0.6,1.4,0.5,1.4,2585.0,2308.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:46.438,0.5,1.4,0.6,1.4,2640.0,2303.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:48.440,0.6,1.4,0.6,1.5,2644.0,2260.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:50.441,0.6,1.5,0.6,1.4,2637.0,2348.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:51.442,0.6,1.4,0.5,1.5,2643.0,2308.0, -259.7,-19.8,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:52.444,0.6,1.4,0.5,1.5,2685.0,2366.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:20:54.446,0.5,1.3,0.5,1.3,2600.0,2324.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:55.447,0.5,1.3,0.5,1.4,2595.0,2279.0, -259.7,-19.9,0.0,-259.7,-19.7,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:57.449,0.5,1.3,0.5,1.4,2563.0,2289.0, -259.7,-19.8,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:20:59.450,0.6,1.4,0.5,1.3,2554.0,2328.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:21:00.451,0.6,1.3,0.5,1.4,2550.0,2323.0, -259.7,-19.9,0.0,-259.7,-19.9,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:21:02.453,0.5,1.3,0.5,1.3,2591.0,2346.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:21:35.753,0.4,1.1,0.4,1.2,2277.0,2140.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月14日 21:21:36.753,0.5,1.1,0.5,1.1,2294.0,2153.0, -259.7,-19.9,0.0,-259.7,-19.9,0.0,-259.7,-20.2,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:21:37.753,0.5,1.2,0.5,1.2,2256.0,2087.0, -259.7,-20.0,0.0,-259.7,-19.9,0.0,-259.7,-20.2,0.0,-259.7,-20.0,0.0,
2025年12月14日 21:21:38.753,0.5,1.2,0.5,1.2,2223.0,2114.0, -259.7,-19.9,0.0,-259.7,-19.9,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月14日 21:22:39.675,10.0,26.9,6.9,21.8,2865.0,-2935.6, 753.1,3.5,0.0,-259.7,4.2,0.0,753.1,6.0,0.0,753.1,7.4,0.0,
2025年12月14日 21:22:40.674,10.1,27.5,6.9,22.1,2993.0,-2646.6, 753.1,3.8,0.0,-259.7,4.4,0.0,753.1,5.8,0.0,753.1,7.9,0.0,
2025年12月14日 21:22:41.674,10.1,27.3,6.9,21.6,2782.0,-3091.6, -259.7,3.9,0.0,-259.7,4.5,0.0,-259.7,6.0,0.0,-259.7,8.0,0.0,
2025年12月14日 21:24:14.674,11.6,28.6,9.3,27.2,2495.0,2948.0, -259.7,5.6,0.0,-259.7,6.2,0.0,-259.7,6.8,0.0,-259.7,10.1,0.0,
