时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月19日 09:06:32.686,0.5,1.1,0.4,1.2,2383.0,2120.0, -259.7,-19.9,0.0,-259.7,-19.9,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月19日 09:06:33.686,0.5,1.2,0.5,1.3,2434.0,2228.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月19日 09:06:34.687,0.5,1.2,0.5,1.4,2416.0,2205.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:06:35.687,0.5,1.1,0.5,1.2,2443.0,2192.0, -259.7,-19.9,0.0,-259.7,-19.9,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月19日 09:06:36.686,0.5,1.3,0.5,1.2,2380.0,2182.0, -259.7,-19.9,0.0,-259.7,-19.8,0.0,-259.7,-20.1,0.0,-259.7,-20.0,0.0,
2025年12月19日 09:06:37.686,0.4,1.0,0.4,1.1,2424.0,2209.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.0,0.0,
2025年12月19日 09:06:38.687,0.5,1.2,0.5,1.2,2311.0,2170.0, -259.7,-19.9,0.0,-259.7,-19.9,0.0,-259.7,-20.2,0.0,-259.7,-20.0,0.0,
2025年12月19日 09:11:12.785,0.3,0.8,0.3,0.8,2224.0,1975.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:13.782,0.3,0.8,0.3,0.9,2170.0,2049.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:14.782,0.4,0.8,0.3,0.8,2241.0,1955.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:15.782,0.3,0.7,0.3,0.8,1995.0,2068.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:16.782,0.3,0.8,0.4,0.8,2103.0,2056.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:17.783,0.3,0.8,0.3,0.8,2167.0,1977.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:18.782,0.3,0.8,0.4,0.8,2133.0,2051.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:19.782,0.3,0.7,0.3,0.8,2160.0,2050.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:20.782,0.3,0.7,0.4,0.9,2192.0,2009.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:21.783,0.3,0.8,0.3,0.8,2066.0,2087.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:22.784,0.3,0.8,0.3,0.9,2043.0,2035.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:23.782,0.3,0.7,0.3,0.9,2226.0,2003.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:24.782,0.3,0.8,0.3,0.8,2056.0,2040.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月19日 09:11:25.782,0.3,0.8,0.3,0.7,2156.0,1994.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
