时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月13日 18:08:06.355,0.4,0.9,0.4,1.0,2323.0,2045.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:30.354,0.4,0.9,0.4,1.0,2224.0,2073.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:32.354,0.4,1.0,0.4,1.0,2386.0,2011.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:33.355,0.4,0.9,0.4,0.9,2339.0,2044.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:09:34.354,0.4,1.0,0.4,1.0,2202.0,2059.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:09:35.368,0.4,0.9,0.4,0.9,2313.0,2030.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:36.364,0.4,0.8,0.4,0.9,2295.0,2012.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:37.364,0.4,1.0,0.4,1.0,2286.0,2002.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:38.358,0.4,1.0,0.4,1.0,2377.0,1989.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:39.369,0.4,0.9,0.4,0.9,2348.0,2006.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:40.358,0.4,0.9,0.4,1.0,2261.0,2015.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:41.355,0.4,0.9,0.4,1.0,2122.0,2060.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:42.354,0.4,1.0,0.4,1.0,2387.0,2000.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:43.356,0.4,1.0,0.4,1.0,2341.0,2026.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:44.367,0.4,0.9,0.4,1.0,2243.0,2072.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:45.363,0.4,0.9,0.4,0.9,2317.0,1973.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:46.363,0.4,0.9,0.4,1.0,2327.0,2011.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:47.361,0.4,1.0,0.4,1.0,2298.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:48.354,0.4,0.9,0.4,1.0,2388.0,2005.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:49.355,0.4,0.9,0.4,1.0,2372.0,2004.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:50.355,0.4,0.9,0.4,1.0,2438.0,1989.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:51.354,0.4,0.9,0.4,1.0,2223.0,2111.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:09:52.355,0.4,0.9,0.4,1.0,2325.0,2036.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:00.355,0.4,0.9,0.4,0.9,2401.0,1983.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:01.355,0.4,0.9,0.4,1.0,2402.0,1973.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:02.355,0.4,0.9,0.4,0.9,2379.0,1964.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:03.355,0.4,1.0,0.4,1.0,2460.0,2030.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:04.354,0.4,0.9,0.4,0.9,2339.0,2013.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:05.355,0.4,0.9,0.4,1.0,2351.0,1998.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:06.354,0.4,0.9,0.4,1.0,2334.0,2013.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:07.354,0.4,0.9,0.4,0.9,2276.0,2048.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:08.354,0.4,1.0,0.4,1.0,2434.0,1992.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:09.354,0.4,0.9,0.4,1.0,2413.0,1980.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:10.354,0.4,0.9,0.4,1.0,2189.0,2085.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:11.353,0.4,0.9,0.4,1.0,2447.0,2015.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:12.355,0.4,0.9,0.4,1.0,2218.0,2054.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:13.354,0.4,0.9,0.4,1.0,2214.0,2065.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:14.354,0.4,0.9,0.4,1.0,2331.0,1989.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:15.354,0.4,0.9,0.4,1.0,2271.0,2025.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:16.356,0.4,0.9,0.4,1.0,2210.0,2038.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:17.355,0.4,0.9,0.4,1.0,2291.0,2019.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:18.354,0.4,0.9,0.4,1.0,2289.0,2013.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:19.355,0.4,0.9,0.4,1.0,2368.0,2008.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:20.354,0.4,0.9,0.4,0.9,2361.0,2006.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:21.354,0.4,0.9,0.4,1.0,2364.0,2020.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:22.355,0.4,0.9,0.4,1.0,2363.0,1993.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:23.355,0.4,0.9,0.4,1.0,2281.0,2030.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:24.355,0.4,0.9,0.4,0.9,2388.0,2021.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:25.355,0.4,0.9,0.4,1.0,2280.0,1976.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:26.354,0.4,0.9,0.4,1.0,2294.0,2019.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:27.356,0.4,0.9,0.4,1.0,2298.0,2046.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:28.354,0.4,0.9,0.4,0.9,2358.0,2039.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:29.355,0.4,0.9,0.4,1.0,2327.0,2002.0, -259.7,-20.0,0.0,-259.7,-19.9,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:30.353,0.4,0.9,0.4,1.0,2427.0,2028.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:31.356,0.4,1.0,0.4,1.0,2263.0,2053.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:32.355,0.4,0.9,0.4,1.0,2376.0,2019.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:33.354,0.4,0.9,0.4,1.0,2140.0,2055.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:34.355,0.4,0.9,0.4,0.9,2399.0,2023.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:35.354,0.4,0.9,0.4,1.0,2316.0,2006.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:36.354,0.4,0.9,0.4,1.0,2203.0,2045.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:37.355,0.4,0.9,0.4,0.9,2292.0,2019.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:38.355,0.4,0.9,0.4,1.0,2397.0,2016.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:39.355,0.4,0.9,0.4,0.9,2239.0,1999.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:40.354,0.4,1.0,0.4,1.0,2396.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:41.354,0.4,0.9,0.4,1.0,2408.0,1986.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:42.354,0.4,0.9,0.4,0.9,2341.0,2027.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:43.354,0.4,0.9,0.4,1.0,2430.0,2019.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:44.355,0.4,0.9,0.4,1.0,2250.0,2001.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:45.354,0.4,0.9,0.4,1.0,2349.0,2040.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:46.354,0.4,0.9,0.4,1.0,2395.0,2007.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:47.355,0.4,0.9,0.4,0.9,2380.0,1997.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:48.354,0.4,0.9,0.4,1.0,2307.0,2048.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:49.355,0.4,1.0,0.4,1.0,2397.0,2003.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:50.355,0.4,0.9,0.4,0.9,2383.0,1997.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:10:51.354,0.4,0.9,0.4,1.0,2380.0,2003.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:52.354,0.4,0.9,0.4,0.9,2280.0,2057.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:53.354,0.4,0.9,0.4,1.0,2263.0,2022.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:10:54.354,0.4,0.9,0.4,1.0,2345.0,1993.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:55.355,0.4,0.9,0.4,0.9,2284.0,2030.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:56.354,0.4,0.8,0.4,1.0,2377.0,2004.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:57.354,0.4,0.9,0.4,1.0,2209.0,2070.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:58.354,0.4,0.8,0.4,0.9,2329.0,1973.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:10:59.355,0.4,0.9,0.4,1.1,2267.0,2019.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:00.354,0.4,0.8,0.3,0.9,2179.0,2045.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:01.355,0.4,0.9,0.4,0.9,2288.0,2039.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:02.354,0.4,0.9,0.4,1.0,2299.0,2029.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:03.367,0.4,0.9,0.4,1.0,2317.0,2032.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:04.354,0.4,0.9,0.4,1.0,2360.0,2006.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:05.357,0.4,0.9,0.4,1.0,2352.0,1989.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:06.354,0.4,0.9,0.4,1.0,2414.0,2016.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:07.354,0.4,0.9,0.4,1.0,2299.0,2021.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:08.354,0.4,0.9,0.4,1.0,2383.0,2027.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:09.354,0.4,0.9,0.4,1.0,2350.0,1989.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:11:10.355,0.4,0.9,0.4,0.9,2319.0,2016.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:11.354,0.4,0.9,0.4,1.0,2278.0,2022.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:12.354,0.4,0.9,0.4,0.9,2395.0,2012.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:13.355,0.4,0.9,0.4,1.0,2292.0,2002.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:14.354,0.4,0.9,0.4,1.0,2429.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:15.354,0.4,0.9,0.4,1.0,2392.0,1994.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:16.356,0.4,0.9,0.4,1.1,2234.0,2048.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:17.355,0.4,0.8,0.4,0.9,2372.0,1987.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:18.357,0.4,0.9,0.4,0.9,2323.0,1986.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:19.355,0.4,0.9,0.4,0.9,2289.0,2020.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:20.355,0.4,0.9,0.4,1.0,2270.0,2022.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:21.355,0.4,0.9,0.4,1.0,2240.0,2035.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:22.355,0.4,0.9,0.4,0.9,2365.0,1953.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:23.355,0.4,0.9,0.4,1.0,2302.0,2008.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:24.355,0.4,0.9,0.4,1.0,2325.0,2043.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:25.354,0.4,0.8,0.4,1.0,2360.0,1995.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:26.354,0.4,0.9,0.4,1.0,2197.0,2042.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:27.354,0.4,0.9,0.4,0.9,2348.0,1960.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:28.355,0.4,0.9,0.4,1.0,2356.0,2013.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:29.354,0.4,0.9,0.4,1.0,2333.0,2025.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:30.354,0.4,0.9,0.4,1.0,2317.0,1996.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:31.354,0.4,0.9,0.4,1.0,2376.0,2018.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:11:32.354,0.4,0.8,0.4,1.0,2346.0,2006.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
