时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月13日 18:07:44.355,0.4,0.9,0.4,1.0,2305.0,2010.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:45.355,0.4,0.9,0.4,1.0,2291.0,2016.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:46.354,0.4,0.9,0.4,1.0,2274.0,2030.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:47.354,0.4,0.9,0.4,1.0,2360.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:48.355,0.4,0.9,0.4,1.0,2312.0,2072.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:49.354,0.4,0.9,0.4,1.0,2407.0,2009.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:50.354,0.4,0.8,0.4,1.0,2333.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:51.355,0.4,0.9,0.4,1.0,2288.0,2010.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:52.355,0.4,0.9,0.4,1.0,2229.0,2057.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:53.354,0.4,0.9,0.4,1.0,2362.0,2052.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:54.354,0.4,0.9,0.4,1.0,2199.0,2075.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:55.354,0.4,0.9,0.4,1.0,2261.0,2045.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:56.354,0.4,0.9,0.4,1.0,2366.0,2006.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:57.354,0.4,1.0,0.4,1.0,2424.0,2028.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:58.355,0.4,0.9,0.4,0.9,2256.0,2039.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:07:59.354,0.4,1.0,0.4,1.0,2314.0,2027.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:08:00.354,0.4,0.9,0.4,1.0,2251.0,2049.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:08:01.355,0.4,0.9,0.4,0.9,2239.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:08:02.355,0.4,0.9,0.4,1.0,2261.0,2022.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:08:03.354,0.4,0.9,0.4,1.0,2364.0,2015.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:08:04.355,0.4,0.9,0.4,1.0,2370.0,1999.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:08:05.354,0.4,0.9,0.4,1.0,2373.0,2018.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
