时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 23:26:25.117,0.3,0.7,0.3,0.7,2207.0,1965.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:26:26.119,0.3,0.6,0.3,0.6,2043.0,1923.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:50:26.233,0.4,0.9,0.4,1.0,2389.0,2184.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 23:50:27.233,0.4,0.9,0.4,1.0,2281.0,2134.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月18日 23:50:29.231,0.4,0.9,0.4,1.0,2335.0,2155.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月18日 23:53:17.009,0.3,0.7,0.3,0.6,2191.0,1968.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:53:18.011,0.3,0.6,0.3,0.7,1977.0,1899.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:53:19.009,0.3,0.7,0.3,0.7,2022.0,1920.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:53:20.010,0.3,0.7,0.3,0.7,1999.0,1934.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:53:21.009,0.3,0.6,0.3,0.6,2018.0,1921.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
