时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 22:46:53.460,0.3,0.6,0.3,0.6,2016.0,1886.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:46:54.460,0.3,0.6,0.3,0.7,1972.0,1880.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:46:55.459,0.3,0.6,0.3,0.6,1962.0,1885.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:46:56.460,0.3,0.6,0.3,0.6,1997.0,1935.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:46:57.460,0.3,0.6,0.3,0.7,2044.0,1888.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:46:58.460,0.3,0.6,0.3,0.7,2047.0,1893.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:46:59.461,0.3,0.6,0.3,0.7,2000.0,1912.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:00.461,0.3,0.6,0.3,0.7,1956.0,1894.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:01.461,0.3,0.6,0.3,0.6,1978.0,1910.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:02.459,0.3,0.6,0.3,0.7,2030.0,1941.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:03.460,0.3,0.6,0.3,0.6,2002.0,1900.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:04.460,0.2,0.6,0.3,0.7,1998.0,1892.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:05.459,0.3,0.6,0.3,0.7,1974.0,1889.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:06.460,0.3,0.6,0.3,0.6,1970.0,1881.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:07.461,0.3,0.6,0.3,0.7,1974.0,1916.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:08.460,0.3,0.6,0.3,0.7,2019.0,1880.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:09.460,0.3,0.6,0.3,0.7,2033.0,1888.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:10.460,0.3,0.7,0.3,0.7,2060.0,1913.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:11.460,0.3,0.6,0.3,0.6,1963.0,1893.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
